,date,open,high,low,close,flag,EMA1,EMA2,EMA3,EMA4,smalemadifference,longemadifference
683,2024-04-30 15:20:00+05:30,473.35,474.05,473.35,474.05,21,479.986453266322,490.3016006906802,519.2649937178329,523.5732320476881,-10.315147424358202,-4.308238329855158
684,2024-04-30 15:21:00+05:30,473.4,473.45,473.05,473.15,37,476.568226633161,485.4011433504859,514.8730895542298,520.320120302676,-8.832916717324906,-5.4470307484461955
685,2024-04-30 15:22:00+05:30,473.2,473.3,467.95,467.95,36,472.2591133165805,480.4151023932042,510.40422388239836,516.9414028637937,-8.155989076623712,-6.5371789813953
686,2024-04-30 15:23:00+05:30,467.85,471.45,467.8,470.0,59,471.12955665829026,477.4393588522887,506.5562025602652,513.912925259678,-6.3098021939984505,-7.356722699412785
687,2024-04-30 15:24:00+05:30,468.85,468.85,468.65,468.65,12,469.8897783291451,474.9281134659205,502.9460880307161,510.9927365332472,-5.038335136775402,-8.04664850253107
688,2024-04-30 15:25:00+05:30,468.65,471.0,468.65,471.0,10,470.44488916457254,473.80579533280036,499.9036034563622,508.41255998271515,-3.360906168227814,-8.50895652635296
689,2024-04-30 15:29:00+05:30,472.0,472.0,472.0,472.0,1,471.22244458228624,473.2898538091431,497.24611741289914,506.0633625644755,-2.067409226856853,-8.817245151576344
690,2024-05-02 09:17:00+05:30,472.0,472.0,472.0,472.0,0,471.6112222911431,472.92132414938794,494.8417252783373,503.8657262699932,-1.3101018582448205,-9.024000991655896
691,2024-05-02 09:18:00+05:30,488.0,488.0,486.0,486.0,5,478.80561114557156,476.6580886781343,493.99965620420994,502.7130987687034,2.147522467437284,-8.713442564493448
692,2024-05-02 09:32:00+05:30,472.85,472.85,472.85,472.85,2,475.8278055727858,475.5700633415245,491.98540323238046,500.78644723523865,0.257742231261318,-8.801044002858191
693,2024-05-02 09:33:00+05:30,469.5,476.15,469.5,473.35,3,474.5889027863929,474.93575952966034,490.2106029245347,499.0163538652233,-0.34685674326743765,-8.805750940688597
694,2024-05-02 09:34:00+05:30,473.9,473.9,472.4,472.4,2,473.4944513931964,474.2112568069002,488.51435502695995,497.2991697448864,-0.7168054137038098,-8.784814717926452
695,2024-05-02 09:36:00+05:30,466.6,475.5,464.8,466.3,17,469.8972256965982,471.9508977192145,486.3987021672495,495.29922330973244,-2.053672022616297,-8.900521142482944
696,2024-05-02 09:37:00+05:30,481.85,481.85,481.85,481.85,4,475.8736128482991,474.77921265658176,485.96549243703527,494.4315314832981,1.094400191717341,-8.466039046262836
697,2024-05-02 09:48:00+05:30,490.0,490.0,490.0,490.0,1,482.93680642414955,479.1280090404156,486.3497312525557,494.14562622631115,3.8087973837339746,-7.7958949737554235
698,2024-05-02 09:52:00+05:30,475.0,475.0,475.0,475.0,1,478.9684032120748,477.9485778860111,485.26880446659806,492.9104245342911,1.0198253260637102,-7.641620067693054
699,2024-05-02 09:54:00+05:30,479.6,479.6,479.6,479.6,1,479.2842016060374,478.4204127757222,484.72891832692204,492.05168746756266,0.8637888303152295,-7.322769140640617
700,2024-05-02 10:18:00+05:30,510.0,513.05,510.0,513.05,1,496.1671008030187,488.31458055408723,487.42616420054856,493.4064173083651,7.852520248931455,-5.980253107816566
701,2024-05-02 10:19:00+05:30,513.05,513.05,513.05,513.05,2,504.6085504015093,495.38184325291945,489.866529514782,494.6737452239545,9.226707148589867,-4.80721570917251
702,2024-05-02 10:23:00+05:30,502.4,502.4,502.4,502.4,3,503.50427520075465,497.3870308949424,491.060193370517,495.172213274022,6.117244305812221,-4.112019903504972
703,2024-05-02 10:35:00+05:30,480.05,504.55,480.05,480.05,4,491.77713760037733,492.43359349638746,490.0116035257059,494.19658661118194,-0.6564558960101294,-4.184983085476063
704,2024-05-02 10:40:00+05:30,517.65,517.65,515.0,517.65,10,504.7135688001887,499.6382810688482,492.64383176135294,495.7097100556218,5.075287731340495,-3.0658782942688845
